Edward Abbey		29-Jan	Indiana, PA	14-Mar	Oracle, AZ	 Complications of Surgery 	 Buried, Cabeza Prieta Desert, Pima County, AZ	 Male			 Straight	 Author		 United States	Desert Solitaire	Jonathan Troy|The Brave Cowboy|Fire on the Mountain|Desert Solitaire|Black Sun|The Monkey Wrench Gang|The Journey Home|Abbey's Road|Good News|Down the River|The Fool's Progress|One Life at a Time|Hayduke Lives!
Étienne Pasquier		7-Jun	Paris, France	30-Aug	Paris, France	 unspecified		 Male				 Author		 France	Recherches de la France	
John Dos Passos	 John Roderigo Madison	14-Jan	Chicago, IL	28-Sep	Baltimore, MD	 Heart Failure	 Buried, Yeocomico Episcopal Churchyard, Kinsale, VA	 Male			 Straight	 Author		 United States	U.S.A. Trilogy	One Man's Initiation|Three Soldiers|Rosinante to the Road Again|A Pushcart at the Curb|Streets of Night|Manhattan Transfer|The Garbage Man|Orient Express|Airways, Inc.|The 42nd Parallel|1919|In All Countries|Three Plays|The Big Money|Journeys Between Wars|Adventures of a Young Man|The Ground We Stand On|The Grand Design|USA|Chosen Country|District of Columbia|Most Likely to Succeed|The Head and Heart of Thomas Jefferson|Men Who Made the Nation|Great Days|Prospects of a Golden Age|Midcentury|Brazil on the Move|Occasions and Protests|The Portugal Story: Three Centuries of Exploration and Discovery|Thomas Jefferson: The Making of a President|The Shackles of Power: Three Jeffersonian Decades|The Best Times: An Informal Memoir|The Theme Is Freedom|Easter Island|The Fourteenth Chronicle|Century's Ebb|Afterglow and Other Undergraduate Writings
Boris Pasternak	 Boris Leonidovich Pasternak	10-Feb	Moscow, Russia	30-May	 Peredelkino, Russia	Cancer - Lung	 Buried, Pasternak Home, Peredelkino, Russia	 Male	Jewish		 Straight	 Author, 		 Russia	Doctor Zhivago	
Isabel Paterson	 Isabel Mary Bowler	22-Jan	 Manitoulin Island, Ontario, Canada	10-Jan	Montclair, NJ	 unspecified	 Buried, Saint Mary's Episcopal Churchyard, Burlington, NJ	 Female			 Straight	 Author, 		 United States	The God of the Machine	The Magpie's Nest|The Shadow Riders|The Singing Season: A Romance of Old Spain|The Fourth Queen|The Road of the Gods|Never Ask the End|The Golden Vanity|If It Prove Fair Weather|The God of the Machine
Alan Paton	 Alan Stewart Paton	11-Jan	 Pietermaritzburg, Natal, South Africa	12-Apr	Durban, South Africa	 unspecified		 Male			 Straight	 Author, Politician		 South Africa	Cry, the Beloved Country	Cry, the Beloved Country|Too Late the Phalarope|Tales From a Troubled Land|Hofmeyr|Instrument of Thy Peace|Kontakion For You Departed|Apartheid and the Bishop: The Life and Times of Geoffrey Clayton|Knocking on the Door: Shorter Writings|Towards the Mountain|Ah, But Your Land Is Beautiful|Debbie Go Home and Other Stories|Journey Continued|Songs of Africa: Collected Poems
James Patterson	 James B. Patterson	22-Mar	Newburgh, NY					 Male			 Straight	 Author	http://www.jamespatterson.com/	 United States	Along Came a Spider	
M. Scott Peck	 Morgan Scott Peck	22-May	New York City	25-Sep	 Warren, CT	Cancer - Pancreatic		 Male	 Christian		 Straight	 Author	http://www.mscottpeck.com/	 United States	The Road Less Traveled	The Road Less Traveled|People of the Lie: The Hope For Healing Human Evil|The Different Drum: Community Making and Peace|A Bed by the Window: A Novel of Mystery and Redemption|The Friendly Snowflake: A Fable Of Faith, Love And Family|Further Along the Road Less Traveled|A World Waiting to Be Born: Civility Rediscovered |In Search of Stones: A Pilgrimage of Faith, Reason and Discovery|Abounding Grace: An Anthology of Wisdom|In Heaven as on Earth: A Vision of the Afterlife|Denial of the soul: spiritual and medical perspectives on euthanasia and morality|The Road Less Travelled and Beyond: Spiritual Growth in an Age of Anxiety |Golf and the Spirit: Lessons for the Journey|Glimpses of the Devil: A Psychiatrist's Personal Accounts of Possession, Exorcism, and Redemption
Harvey Pekar		8-Oct	Cleveland, OH	12-Jul	Cleveland, OH	 unspecified		 Male	Atheist		 Straight	 Author	http://www.harveypekar.com/	 United States	American Splendor	
Samuel Pepys		23-Feb	London, England	26-May	London, England	 unspecified	 Buried, St. Olave Hart Street Churchyard, London, England	 Male			 Straight	 Author		 England	 London diarist	
Thomas Percy		13-Apr	Bridgnorth, Shropshire, England	30-Sep	 Dromore, County Down, Ireland	 unspecified	 Buried, Dromore Cathedral	 Male	Anglican/Episcopalian		 Straight	 Author		 England	Percy Reliques	
Walker Percy		28-May	Birmingham, AL	10-May	Covington, LA	Cancer - unspecified	 Buried, Saint Joseph Abbey Cemetery, Covington, LA	 Male	Roman Catholic		 Straight	 Author		 United States	The Moviegoer	The Moviegoer|The Last Gentleman|Love in the Ruins: The Adventures of a Bad Catholic at a Time Near the End of the World|The Message in the Bottle: How Queer Man Is, How Queer Language Is, and What One Has to Do With the Other|Lancelot|The Second Coming|Lost in the Cosmos: The Last Self-Help Book|The Thanatos Syndrome
S. J. Perelman	 Simeon Joseph Perelman	1-Feb	Brooklyn, NY	17-Oct	New York City	 unspecified	 Cremated	 Male	Jewish		 Straight	 Author, 		 United States	New Yorker	
Cristina Peri Rossi		12-Nov	Montevideo, Uruguay					 Female				 Author, 		 Uruguay	Los Museos Abandonados	Los museos abandonados|El libro de mis primos|Indicios pánicos|Evohe|Descripción de un naufragio|Diáspora|La tarde del dinosaurio|Lingüística general|La rebelión de los niños|El museo de los esfuerzos inútiles|La nave de los locos|Una pasión prohibida|Europa después de la lluvia|Solitario de amor|Cosmoagonía|Fantasías eróticas|Acerca de la escritura|La última noche de Dostoievski|Otra vez Eros|Aquella noche|Inmovilidad de los barcos|Desastres íntimos|Poemas de amor y desamor|Las musas inquietantes|El amor es una droga dura|Te adoro y otros relatos|Julio Cortázar|Cuando fumar era un placer|Estado de exilio|Por fin solos|Estrategias del deseo
George R. Perkovich	 George Robert Perkovich III	 c. 						 Male				 Author		 United States	India's Nuclear Bomb	India's Nuclear Bomb: The Impact on Global Proliferation
Charles Perrault		12-Jan	Paris, France	16-May	Paris, France	 unspecified		 Male	Roman Catholic			 Author		 France	Tales of Mother Goose	
Persius	 Aulus Persius Flaccus	 34 AD	 Volterra, Italy	 62 AD	 Campania, Italy	 unspecified		 Male				 Author		 Ancient Rome	Satires	
Fernando Pessoa	 Fernando António Nogueria Pessoa	13-Jun	Lisbon, Portugal	30-Nov	Lisbon, Portugal	Cirrhosis of the Liver	 Buried, Jeronimos Monastery, Lisbon, Portugal	 Male			Matter of Dispute	 Author, 		 Portugal	 Heteronymous author, 	Antinous|Mensagem|Poesias de Fernando Pessoa|Poesias de Álvaro de Campos|Poemas de Alberto Caeiro|Odes de Ricardo Reis|The Book of Disquiet
Tom Peters	 Thomas J. Peters	7-Nov	Baltimore, MD					 Male			 Straight	 Author	http://www.tompeters.com/	 United States	In Search of Excellence	In Search of Excellence|A Passion for Excellence:  The Leadership Difference|Thriving on Chaos: Handbook for a Management Revolution|Liberation Management: Nescessary Disorganization for the Nanosecond Nineties|The Pursuit of Wow! Every Person's Guide to Topsy-Turvy Times|The Circle of Innovation: You Can't Shrink Your Way to Greatness|Re-Imagine! A New Business Model for the New Century
Michael Peterson	 Michael Iver Peterson	23-Oct	Nashville, TN					 Male	Roman Catholic		Bisexual	 Author		 United States	The Staircase	The Immortal Dragon|A Time of War: A Bitter Peace|Charlie Two Shoes and the Marines of Love Company
Petronius Arbiter	 Titus Petronius Niger	 ?		 66 AD		 unspecified		 Male	 Pagan			 Author		 Ancient Rome	Satyricon	Satyricon
Phaedrus		 c. 15 BC	 Thrace	 50 AD	Italy	 unspecified		 Male				 Author		 Ancient Rome	 Roman fabulist	
William Pierce	 William Luther Pierce	11-Sep	Atlanta, GA	23-Jul	Hillsboro, WV	Kidney failure		 Male	Deist			 Author		 United States	The Turner Diaries	The Turner Diaries
Ricardo Piglia		24-Nov	Buenos Aires, Argentina					 Male				 Author		 Argentina	The Absent City	La invasión|Nombre falso|Assumed Name|Respiración artificial|Artificial Respiration|Crítica y ficción|Prisión perpetua|Perpetual Prison|La ciudad ausente|The Absent City|Plata Quedamada|Money to Burn|El último lector|The Last Reader
Christopher Pike	 Kevin McFadden	 Nov-	Brooklyn, NY					 Male			 Straight	 Author		 United States	 Last Vampire, Spooksville, series	
Nicholas Pileggi		22-Feb	New York City					 Male			 Straight	 Author, 		 United States	Goodfellas	
Dan Pink	 Daniel H. Pink	 c. 						 Male			 Straight	 Author	http://www.danpink.com/	 United States	A Whole New Mind	Free Agent Nation: How America's New Independent Workers Are Transforming the Way We Live|A Whole New Mind: Moving from the Information Age to the Conceptual Age|The Adventures of Johnny Bunko: the Last Career Guide You'll Ever Need
Daniel Pinkwater	 Daniel Manus Pinkwater	15-Nov	Memphis, TN					 Male			 Straight	 Author, 	http://www.pinkwater.com/	 United States	The Snarkout Boys and the Avocado of Death	Lizard Music|Alan Mendelsohn, Boy From Mars|The Snarkout Boys and the Avocado of Death|The Snarkout Boys and the Baconburg Horror|Borgel|The Education of Robert Nifkin
Robert Pirsig	 Robert Maynard Pirsig	6-Sep	Minneapolis, MN					 Male	Buddhist		 Straight	 Author		 United States	Zen and the Art of Motorcycle Maintenance	
Charles Platt	 Charles Michael Platt	1945	London, England					 Male				 Author		 United States	 Science fiction novelist	
George Plimpton	 George Ames Plimpton	18-Mar	New York City	25-Sep	Manhattan, NY	 Natural Causes	 Cremated	 Male			 Straight	 Author		 United States	Paper Lion	Out of My League|Paper Lion|The Bogey Man|Shadow Box|The Curious Case of Sidd Finch|The Best of Plimpton|Truman Capote: In Which Various Friends, Enemies, Acquaintances, and Detractors Recall His Turbulent Career
Pliny the Elder	 Caius Plinius Secundus	 23 AD	Como, Italy	25-Aug	 Stabiae, Italy	 Accident - Misc 		 Male				 Author		 Ancient Rome	Naturalis Historia	
Pliny the Younger	 Gaius Plinius Caecilius Secundus	 c. 61 AD	Como, Italy	 c. 113 AD		 unspecified		 Male			 Straight	 Author		 Ancient Rome	Epistulae	
Plutarch	 Lucius Mestrius Plutarchus	 46 AD	 Chaeronea, Boeotia, Greece	 c. 120 AD		 unspecified		 Male			 Straight	 Author		 Ancient Rome	Lives	
Norman Podhoretz		16-Jan	Brooklyn, NY					 Male	Jewish		 Straight	 Author		 United States	 Prominent neocon author	Doings and Undoings: The Fifties and After in American Writing|Making It|Breaking Ranks: A Political Memoir|The Present Danger|Why We Were in Vietnam|The Bloody Crossroads: Where Literature and Politics Meet|Ex-Friends|My Love Affair with America: The Cautionary Tale of a Cheerful Conservative|The Prophets: Who They Were, What They Are|The Norman Podhoretz Reader|World War IV: The Long Struggle against Islamofascism
Frank Podmore		5-Feb	 Elstree, Hertfordshire, England	14-Aug	Malvern, Worcestershire, England	Accident - Drowning	 Buried, Malvern Wells Cemetery	 Male			Matter of Dispute	 Author, Paranormal		 England	 Fabian Society	Apparitions and Thought-Transference|Studies in Psychical Research|Modern Spiritualism|Spiritualism (Pro and Con Series, against Wake Cook)|Biography of Robert Owen|The Naturalisation of the Supernatural|Mesmerism and Christian Science|Telepathic Hallucination: The New View of Ghosts|The Newer Spiritualism
Edgar Allan Poe		19-Jan	Boston, MA	7-Oct	Baltimore, MD	Tuberculosis	 Buried, Westminster Hall and Burial Grounds, Baltimore, MD	 Male			 Straight	 Author, 		 United States	The Raven	Tamerlane, and Other Poems|Al Aaraaf, Tamerlane, and Minor Poems|The Narrative of Arthur Gordon Pym of Nantucket|Poems by Edgar A. Poe|Tales of the Grotesque and Arabseque|Tales|The Raven and Other Poems
Frederik Pohl	 Frederik George Pohl, Jr.	26-Nov	Brooklyn, NY	2-Sep	Palatine, IL	Respiratory failure		 Male	Unitarian		 Straight	 Author, Editor	http://www.thewaythefutureblogs.com/	 United States	 Futurian science fiction writer	The Space Merchants|Search the Sky|Gladiator at Law|Wolfbane|The Age of Pussyfoot|The Best of Frederik Pohl|Man Plus|The Way the Future Was|The Cool War|Starburst|Man Plus|The Years of the City|The Merchants War|Pohlstars|Chernobyl|The Gateway Trip
Michael Pollan		6-Feb	Long Island, NY					 Male			 Straight	 Author	http://www.michaelpollan.com/	 United States	The Omnivore's Dilemma	Second Nature: A Gardener's Education|A Place of My Own: The Education of an Amateur Builder|The Botany of Desire: A Plant's-Eye View of the World|The Omnivore's Dilemma: A Natural History of Four Meals|In Defense of Food: An Eater's Manifesto
Donald Ray Pollock		23-Dec	Ross County, OH					 Male			 Straight	 Author	http://www.donaldraypollock.com/	 United States	The Devil All The Time	Knockemstiff|The Devil All the Time
Henrik Pontoppidan		24-Jul	Fredericia, Denmark	21-Aug	 Charlottenlund, Denmark	 Natural Causes	 Buried, Rørvig Church, Rørvig, Vestsjaelland, Denmark	 Male	Lutheran		 Straight	 Author		 Denmark	Lucky Peter	Clipped Wings|Sandinge Parish|Village Pictures|Young Love|Mimosas|From the Cottages|The Polar Bear|Ghosts|The Apothecary's Daughters|Clouds|Memories|The Old Adam|Night Watch|The Promised Land|Judgment Day|Song of Songs|Emanuel; or, Children of the Soil|Little Red Riding Hood|The Ideal Home|Lucky Peter|Mayor Hoeck and Wife|Merry Andrew and Melusina|The Royal Guest|The Church and its Men|The Kingdom of the Dead|A Winter Journey|Man's Heaven|Boyhood Years|Sloughing|Inheritance and Debt|Family Life|On the Way to Myself
Hal Porter		16-Feb	 Albert Park, Victoria, Australia	29-Sep	Melbourne, Victoria, Australia	 unspecified		 Male				 Author		 Australia	A Handful of Pennies	Short Stories|The Hexagon|A Handful of Pennies|The Titled Cross|A Bachelor's Children|The Watcher on the Cast-Iron Balcony|The Cats of Venice|The Paper Chase|Elijah's Ravens|Mr. Butterfry and Other Tales of New Japan|The Right Thing|Selected Stories|Criss-Cross|In an Australian Graveyard|Fredo Fuss Love Life|The Extra|The Portable Hal Porter|The Clairvoyant Goat|The Tower|The Professor|Eden House
Katherine Anne Porter	 Callie Russell Porter	15-May	 Indian Creek, TX	18-Sep	Silver Spring, MD	 unspecified	 Cremated, Indian Creek Cemetery, Indian Creek, TX	 Female			 Straight	 Author		 United States	Ship of Fools	Flowering Judas and Other Stories|Noon Wine|Pale Horse, Pale Rider: Three Short Novels|The Leaning Tower and Other Stories|The Old Order: Stories of the South|The Days Before|Ship of Fools|The Collected Stories of Katherine Anne Porter|A Christmas Story|The Never-Ending Wrong
Charles Portis	 Charles McColl Portis	28-Dec	El Dorado, AR					 Male	Presbyterian			 Author, 		 United States	True Grit	Norwood|True Grit|The Dog of the South|Masters of Atlantis|Gringos|Del-Ray’s New Moon
William Poundstone		29-Mar	Morgantown, WV					 Male				 Author	http://home.williampoundstone.net/	 United States	Big Secrets	Big Secrets: The Uncensored Truth About All Sorts of Stuff You Are Never Supposed to Know|The Recursive Universe: Cosmic Complexity and the Limits of Scientific Knowledge|Bigger Secrets: More Than 125 Things They Prayed You'd Never Find Out|Labyrinths of Reason: Paradox, Puzzles, and the Frailty of Knowledge|The Ultimate: The Great Armchair Debates Settled Once and for All|Prisoner's Dilemma: John von Neumann, Game Theory, and the Puzzle of the Bomb|Biggest Secrets: More Uncensored Truth About All Sorts of Stuff You Are Never Supposed to Know|Carl Sagan: A Life in the Cosmos|How Would You Move Mount Fuji? Microsoft's Cult of the Puzzle -- How the World's Smartest Companies Select the Most Creative Thinkers|Fortune's Formula: The Untold Story of the Scientific Betting System That Beat the Casinos and Wall Street|Gaming the Vote: Why Elections Aren't Fair (and What We Can Do About It)|Priceless: The Myth of Fair Value (and How to Take Advantage of It)|Are You Smart Enough to Work at Google?
Jerry Pournelle	 Jerry Eugene Pournelle	7-Aug	Shreveport, LA					 Male			 Straight	 Author	http://www.jerrypournelle.com/	 United States	 Sci-Fi collaborator with Larry Niven	The Mote In God's Eye|The Gripping Hand|Janissaries|Clan and Crown|Storms of Victory|The Legacy of Heorot|The Dragons of Heorot|Beowulf's Children|Prince of Mercenaries|Falkenberg's Legion|Go Tell the Spartans|Prince of Sparta|Higher Education|Starswarm|The Burning City|The Burning Tower|Red Heroin|Red Dragon|Birth of Fire|Inferno|Lucifer's Hammer|Exiles to Glory|Footfall|The Children's Hour|Cities in Space|Fallen Angesl|PC Hardware: The Definitive Guide
Samantha Power		21-Sep	 Dungarvan, County Waterford, Ireland					 Female			 Straight	 Author	http://samanthapower.blogspot.com/	 United States	A Problem From Hell	"A Problem From Hell": America and the Age of Genocide|Chasing the Flame: Sergio Vieira De Mello and the Fight to Save the World
Richard Preston		5-Aug	Cambridge, MA					 Male			 Straight	 Author	http://www.richardpreston.net/	 United States	The Hot Zone	First Light: The Search for the Edge of the Universe|American Steel: Hot Metal Men and the Resurrection of the Rust Belt|The Hot Zone|The Cobra Event|The Demon in the Freezer|The Boat of Dreams: A Christmas Story|The Wild Trees: A Story of Passion and Daring|Panic in Level 4: Cannibals, Killer Viruses, and Other Journeys to the Edge of Science
Reynolds Price	 Edward Reynolds Price	1-Feb	Macon, NC	20-Jan	Durham, NC	 Heart Failure		 Male			Gay	 Author		 United States	A Long and Happy Life	A Long and Happy Life|The Names and Faces of Heroes|A Generous Man|Love and Work|Permanent Errors|Things Themselves|The Surface of Earth|Early Dark|A Palpable God|The Source of Light|Vital Provisions|Mustian|Kate Vaiden|The Laws of Ice|A Common Room|Good Hearts|Clear Pictures|The Tongues of Angels|The Use of Fire|New Music|The Foreseeable Future|Blue Calhoun|The Collected Stories|A Whole New Life|The Promise of Rest|Three Gospels|The Collected Poems|Roxanna Slade|Letter to a Man in the Fire: Does God Exist and Does He Care?|Feasting the Heart|Learning a Trade: A Craftsman's Notebooks, 1955-1997|A Perfect Friend|Noble Norfleet|A Serious Way of Wondering: The Ethics of Jesus Imagined|The Good Priest's Son|Ardent Spirits: Leaving Home, Coming Back|Private Contentment|Full Moon
V. S. Pritchett	 Victor Sawdon Pritchett	16-Dec	Ipswich, Suffolk, England	20-Mar	London, England	Stroke		 Male	Christian Science		 Straight	 Author		 England	Midnight Oil	Marching Spain|Clare Drummer|The Spanish Virgin and Other Stories|Nothing Like Leather|You Make Your Own Life|Mr. Beluncle|Spanish Temper|Collected Stories|A Cab at the Door|Blind Love and Other Stories|George Meredith and English Comedy|Midnight Oil|Balzac|The Gentle Barbarian: the Life and Work of Turgenev|The Myth Makers|More Collected Stories|A Man of Letters|Chekhov|A Careless Widow and Other Stories|The Complete Collected Essays of V. S. Pritchett
E. Annie Proulx	 Edna Annie Proulx	22-Aug	Norwich, CT					 Female			 Straight	 Author		 United States	The Shipping News	Heart Songs and Other Stories|Postcards|The Shipping News|Accordion Crimes|Close Range: Wyoming Stories|That Old Ace in the Hole|Bird Cloud: A Memoir
Marcel Proust		10-Jul	 Auteuil, France	18-Nov	Paris, France	Pneumonia	 Buried, 	 Male	Roman Catholic		Gay	 Author		 France	In Search of Lost Time	
James Purdy	 James Otis Purdy	17-Jul	Fremont, OH	13-Mar	Englewood, NJ	 unspecified		 Male	Presbyterian		Gay	 Author		 United States	Eustance Chisholm and the Works	Don't Call Me by My Right Name and Other Stories|63: Dream Palace|Color of Darkness: Eleven Stories and a Novella|Malcolm|The Nephew|Cabot Wright Begins|Eustace Chisholm and the Works|Jeremy's Vision|I Am Elijah Thrush|The House of the Solitary Maggot|In a Shallow Grave|Narrow Rooms|Mourners Below|On Glory's Course|Candles of Your Eyes|Out with the Stars|Gertrude of Stony Island Avenue
George Puttenham	 George Puttehnam	 c. 		1590	London, England	 unspecified		 Male				 Author		 England	The Arte of English Poesie	
Carol Queen		 c. 						 Female			Bisexual	 Author	http://www.carolqueen.com/	 United States	 Prolific sexologist	
Joe Queenan		3-Nov	Philadelphia, PA					 Male	Roman Catholic		 Straight	 Author		 United States	Closing Time	Imperial Caddy: The Rise of Dan Quayle in America and the Decline and Fall of Practically Everything Else|The Unkindest Cut: How a Hatchet Man Critic Made His Own 7,000 Dollar Movie and Put It All on His Credit Card|If You're Talking to Me, Your Career Must Be in Trouble: Movies, Mayhem and Malice|Red Lobster, White Trash, and the Blue Lagoon: Joe Queenan's America|Confessions of a Cineplex Heckler: Celluloid Tirades and Escapades|My Goodness: A Cynic's Short-Lived Search for Sainthood|Balsamic Dreams: A Short But Self-Important History of the Baby Boomer Generation|True Believers: The Tragic Inner Life of Sports Fans|Queenan Country: A Reluctant Anglophile's Pilgrimage to the Mother Country|Closing Time: A Memoir
Rabanus Maurus	 Hrabanus Maurus Magnentius	 c. 776 AD	Mainz, Germany	4-Feb	 Winkel, Germany	 unspecified		 Male	Roman Catholic			 Author, 		 Germany	 Carolingian religious scholar	
François Rabelais		 c. 1494	 Chinon, Indre-et-Loire, France	9-Apr	Paris, France	 unspecified		 Male	Roman Catholic			 Author		 France	Gargantua	Pantagruel|La vie très horrifique du grand Gargantua|Topographiae antiquae Romae Epistola|Supplicatio pro Apostasia|La Sciomachie
Dotson Rader		25-Jul	Evanston, IL					 Male			Bisexual	 Author		 United States	I Ain't Marchin' Anymore!	I Ain't Marchin' Anymore! An Honest Account of Life Among the Disaffected Young -- Their Violence, Politics, and Sex|Gov't Inspected Meat and Other Fun Summer Things|Blood Dues|The Dream's on Me|Beau Monde|Tennessee: Cry of the Heart
Yordan Radichkov		24-Oct	 Kalimanitsa, Bulgaria	21-Jan	Sofia, Bulgaria	Stroke	 Buried, Sofia Central Cemetery, Sofia, Bulgaria	 Male			 Straight	 Author, 		 Bulgaria	 Bulgarian writer	Sarzeto bie za Horata|Prosti Rutse|Oburnato Nebe|Baruten Bukvar|Posledno Liato|Malki Zhabeshki Istorii|Sumatokha|Zhelyaznoto Momche|Yanuari
David Rakoff	 David Benjamin Rakoff	27-Nov	Montreal, Quebec, Canada	9-Aug	New York City	Cancer - unspecified		 Male	Atheist		Gay	 Author		 United States	Don't Get Too Comfortable	Fraud: Essays|Don't Get Too Comfortable: The Indignities Of Coach Class, The Torments of Low Thread Count, The Never-ending Quest For Artisanal Olive Oil, And Other First World Problems|Half Empty
Bill Rancic	 Wiliam Rancic	16-May	Chicago, IL					 Male			 Straight	 Author	http://www.billrancic.com/	 United States	 Winner of 	You're Hired: How to Succeed in Business and Life from the Winner of The Apprentice|Beyond the Lemonade Stand: Starting Small to Make It Big!|I Do, Now What? Secrets, Stories, and Advice from a Madly-In-Love Couple
Ayn Rand	 Alissa Zinovievna Rosenbaum	2-Feb	St. Petersburg, Russia	6-Mar	New York City	 Heart Failure	 Buried, 	 Female	Atheist		 Straight	 Author, 		 United States	Atlas Shrugged	We the Living|Anthem|The Fountainhead|Atlas Shrugged|For the New Intellectual: The Philosophy of Ayn Rand|The Virtue of Selfishness: A New Concept of Egoism|Capitalism: The Unknown Ideal|Introduction to Objectivist Epistemology|The Romantic Manifesto: A Philosophy of Literature|The New Left: The Anti-Industrial Revolution|Philosophy: Who Needs It?|Night of January 16th
Ahmed Rashid		8-Jun	Rawalpindi, Pakistan					 Male			 Straight	 Author	http://www.ahmedrashid.com/	 Pakistan	The Resurgence of Central Asia	The Resurgence of Central Asia: Islam or Nationalism?|Taliban: Militant Islam, Oil, and Fundamentalism in Central Asia|Jihad: The Rise of Militant Islam in Central Asia|Descent into Chaos: The U.S. and the Disaster in Pakistan, Afghanistan, and Central Asia|Natural Disasters, Their Risk Perceptions and How to Cope With?|Pakistan on the Brink: The Future of America, Pakistan, and Afghanistan
R. E. Raspe	 Rudolf Erich Raspe	1737	Hanover, Germany	1794	 Muckross, Donegal, Ireland	 unspecified		 Male				 Author, 		 Germany	The Adventures of Baron Munchausen	
Opie Read	 Opie Percival Read	22-Dec	Nashville, TN	2-Nov	Chicago, IL	 unspecified		 Male				 Author		 United States	Jucklins	Len Gansett|Jucklins|My Young Masters|I Remember
Pauline Réage	 Anne Desclos	23-Sep	 Rochefort-sur-Mer, Charente-Maritime, Poitou-Charentes, France	27-Apr	 Corbeil-Essonnes, Île-de-France, near Paris, France	 unspecified		 Female			 Straight	 Author		 France	Histoire d'O	Histoire d'O|Story of O|Retour à Roissy|Return to Roissy
John Rechy	 John Francisco Rechy	10-Mar	El Paso, TX					 Male			Gay	 Author	http://www.johnrechy.com/	 United States	City of Night	City of Night|Numbers|This Day's Death|The Vampires|The Fourth Angel|The Sexual Outlaw|Rushes|Bodies and Souls|Marilyn's Daughter|The Miraculous Day of Amalia Gomez|Our Lady of Babylon|The Coming of the Night
Judith Reisman	 Judith Ann Gelernter	11-Apr	Newark, NJ					 Female	Jewish		 Straight	 Author, 	http://www.drjudithreisman.com/	 United States	 Hates Kinsey	Images of Children, Crime and Violence in Playboy, Penthouse, and Hustler|Kinsey, Sex and Fraud|Soft Porn Plays Hardball|Kinsey, Crimes & Consequences
Marc Reisner		14-Sep	Minneapolis, MN	21-Jul	San Anselmo, CA	Cancer - Colon		 Male			 Straight	 Author		 United States	Cadillac Desert	Cadillac Desert: The American West and Its Disappearing Water|Overtapped Oasis: Reform or Revolution for Western Water|Game Wars: The Undercover Pursuit of Wildlife Poachers|A Dangerous Place: California's Unsettling Fate
Robert K. Ressler		15-Feb	Chicago, IL					 Male			 Straight	 Author	http://www.robertkressler.com/	 United States	Whoever Fights Monsters	Sexual Homicide: Patterns and Motives|Whoever Fights Monsters: My Twenty Years Tracking Serial Killers for the FBI|Justice Is Served|I Have Lived In the Monster
James Reston, Jr.	 James Barrett Reston, Jr.	8-Mar	New York City					 Male			 Straight	 Author	http://www.restonbooks.com/	 United States	The Conviction of Richard Nixon	To Defend, To Destroy|The Amnesty of John David Herndon|The Knock at Midnight|The Innocence of Joan Little|Our Father Who Art in Hell: The Life and Death of Jim Jones|Sherman's March and Vietnam|The Lone Star: The Life of John Connally|Collision at Home Plate: The Lives of Pete Rose and Bart Giamatti|Galileo: A Life|The Last Apocalypse: Europe in the Year 1000 AD|Warriors of God: Richard the Lionheart and Saladin in the Third Crusade|Fragile Innocence: A Father's Memoir of His Daughter's Courageous Journey|The Conviction of Richard Nixon: The Untold Story of the Frost/Nixon Interviews
Alfonso Reyes	 Alfonso Reyes Ochoa	17-May	Monterrey, Mexico	27-Dec	Mexico City, Mexico	 Heart Failure	 Buried, Rotunda of Illustrious Persons, Mexico City, Mexico	 Male			 Straight	 Author, 		 Mexico	Visión de Anáhuac	
Wladyslaw Reymont	 Stanislaw Wladyslaw Rejment	7-May	 Kobielo Wielkie, Russia	5-Dec	Warsaw, Poland	 Heart Failure	 Buried, 	 Male			 Straight	 Author		 Poland	The Peasants	Pielgrzymka do Jasnej Góry (Pilgrimage to the Mountain of Light)|Komedjantka (The Comedienne)|Fermenty (Ferments)|Ziemia Obiecana (The Promised Land)|Lili|Z Konstytucyjnych Dni (From the Days of the Constitution)|Chlopi|Z Ziemi Chełmskiej (From the Chełm Lands)|The Dreamer|Wampir (The Vampire)|Rok 1794 (The Year 1794)|Za frontem (Beyond the Front)|Bunt (Defiance)
Howard Rheingold		7-Jul	Phoenix, AZ					 Male			 Straight	 Author, Editor	http://www.rheingold.com/	 United States	The Virtual Community	Higher Creativity|Tools for Thought: The History and Future of Mind-Expanding Technology|The Cognitive Connection: Thought and Language in Man and Machine|Excursions to the Far Side of the Mind|Exploring the World of Lucid Dreaming|Virtual Reality|The Virtual Community|Smart Mobs: The Next Social Revolution
James Ford Rhodes		1-May	Cleveland, OH	22-Jan	Brookline, MA	 unspecified	 Buried, 	 Male				 Author		 United States	History of the Civil War	History of the United States from the Compromise of 1850|Historical Essays|Lectures on the American Civil War|History of the Civil War, 1861-1865|The McKinley and Roosevelt Administrations, 1897-1909
Bernardim Ribeiro		 c. 1482	 Torrão, Portugal	 Oct-	Lisbon, Portugal	 unspecified		 Male	Roman Catholic			 Author, 		 Portugal	Menina e Moça	
Boyd Rice		1955						 Male	 Other		 Straight	 Author, Musician	http://www.boydrice.com/	 United States	 Satanist	
Alexandra Ripley	 Alexandra Braid	8-Jan	Charleston, SC	10-Jan	Richmond, VA	 Natural Causes	 Cremated	 Female			 Straight	 Author		 United States	Scarlett	Who's the Lady in the President's Bed?|Charleston|On Leaving Charleston|The Time Returns|New Orleans Legacy|Scarlett
